section,page_no,sl_no_on_page,applicant,date_application,date_ruling,subject,ruling_no,pdf_link,pdf_available
Mumbai Orders,2,11,Royal Glitz jewel Tech Private Limited,27.10.2025,29.04.2026,Applicability of Notification No 69/2019- Customs and Notification No.75/2020-customs,CAAR/Mum/ARC/02/2026-27,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-del-ord-02-30042026.pdf,YES
Mumbai Orders,2,12,M/s AIL Dixon Technologies Private Limited,26.12.2025,27.04.2026,Import of 5G communication Module FN990A40/A28,CAAR/Mum/ARC/01/2026-27,https://www.cbic.gov.in/CONTENTREPO/VPNcontents/CAAR/caar-mum-ord-1-27042026.pdf,YES
Mumbai Orders,2,13,M11 Energy Transition Private Limited,18.09.2025,24.03.2026,"Classification of Refined Palm Oil Mill Effluent/Palm Oil Mill Effluent, Used Cooking Oil (UCC)) and",CAAR/Mum/ARC/50/2025-26,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-50-24032026.pdf,YES
Mumbai Orders,2,14,Skoda Auto Volkswagen India Private Limited,23.12.2025,17.03.2026,"Classification of parts and components, sub-parts and sub-assemblies of electrically operated vehicl",CAAR/Mum/ARC/49/2025-26,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-skoda-auto-49-18032026.pdf,YES
Mumbai Orders,2,15,Select Technologies Private Limited,12.12.2025,17.03.2026,"Classification of various products including product refer to as ""video conferencing solutions"" in c",CAAR/Mum/ARC/48/2025-26,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-48-select-tech-18032026.pdf,YES
Mumbai Orders,2,16,Beckhoff Automation Private Limited,05.08.2025,09.03.2026,"Beckhoff Automation Private Limited having address at 9th floor, Suyog Platinum Tower, Naylor Road,",CAAR/Mum/ARC/47/2025-26,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-47-10032026.pdf,YES
Mumbai Orders,2,17,M/s Maverick Dreams,20.11.2025,27.02.2026,"Applicability of benefit of Asia-Pacific Trade Agreement (APTA) for import of toys, classifiable und",CAAR/Mum/ARC/46/2025-26,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-ord-46-05032026.pdf,YES
Mumbai Orders,2,18,M/s Daanvi Gruh Udyog,07.01.2026,27.02.2026,"Classification of ""Roasted Areca Nuts (Cut/Whole)""",CAAR/Mum/ARC/45/2025-26,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-ord-45-05032026.pdf,YES
Mumbai Orders,2,19,M/s M G Trade Links,07.01.2026,27.02.2026,"Classification of ""Roasted Areca Nuts (Cut/Whole)""",CAAR/Mum/ARC/44/2025-26,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-ord-44-05032026.pdf,YES
Mumbai Orders,2,20,M/s Sanmuga International,07.01.2026,27.02.2026,"Classification of ""Roasted Areca Nuts (Cut/Whole)""",CAAR/Mum/ARC/43/2025-26,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-ord-43-05032026.pdf,YES
Mumbai Orders,3,21,Speed Force Ventures Private Limited,22.07.2025,26.02.2026,Classification of 'components and parts of c-scooter/e-bikes in CKD condition’'- (without crucial co,CAAR/Mum/ARC/42/2025-26,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-ord-42-26022026.pdf,YES
Mumbai Orders,3,22,M/s. ATM Imports & Exports,26.11.2025,19.02.2026,"Import of 'Roasted Areca Nuts' from Indonesia, Sri Lanka, Myanmar and Thailand",CAAR/Mum/ARC/41/2025-26,https://www.cbic.gov.in/CONTENTREPO/VPNcontents/CAAR/caar-mum-ord-41-20022026.pdf,YES
Mumbai Orders,3,23,M/s Kataria Traders,27.10.2025,11.02.2026,"Import of ""Roasted Areca Nut and Roasted Areca Nut Cut""",CAAR/Mum/ARC/40/2025-26,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-40-12022026.pdf,YES
Mumbai Orders,3,24,TACO Prestolite Electric Private Limited,03.11.2025,02.02.2026,"Classification of Rotor assembly under the Customs Tariff Act, 1975","CAAR/Mum/ARC/37,38 & 39/2025-26",https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-ord-37-38-39-03022026.pdf,YES
Mumbai Orders,3,25,Samsung India Electronics Private Limted,27.10.2025,29.01.2026,Import of components for the manufacture of Large Format Display (LFD) Monitors,CAAR/Mum/ARC/36/2025-26,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-ord-36-29012026.pdf,YES
Mumbai Orders,3,26,EMMVEE ENERGY PRIVATE LIMITED,13.10.2025,20.01.2026,Import of EPE encapsulant under beneficial exemption as per SI. No. 18 ofNotification No 25/ 1999-Cu,CAAR/Mum/ARC/35/2025-26,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-35-20012026.pdf,YES
Mumbai Orders,3,27,Welspun Michigan Engineers Ltd.,27.05.2025,14.01.2026,Classification of ‘Pump Gate System’,CAAR/Mum/ARC/34/2025-26,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-34-14012026.pdf,YES
Mumbai Orders,3,28,Sanmina India Private Limited,05.08.2025,07.01.2026,Classification of Transformers and Planar Transformers,CAAR/Mum/ARC/33/2025-26,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-ord-33-08012026.pdf,YES
Mumbai Orders,3,29,M/s Golden Harvest International,22.09.2025,29.12.2025,Imports of 'Roasted Areca Nuts'-HS code:20081991,CAAR/Mum/ARC/32/2025-26,https://www.cbic.gov.in/CONTENTREPO/VPNcontents/CAAR/caar-mum-ord-32-29122025.pdf,YES
Mumbai Orders,3,30,Dynamic Conglomerate Private Limited,23.09.2025,17.12.2025,Import of Switched-Mode Power-Supply in an unassembled condition,CAAR/Mum/ARC/31/2025-26,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-ord-31-18122025.pdf,YES
Mumbai Orders,4,31,Nemi Chem,17.10.2025,12.12.2025,Levy of Anti-Dumping Duty on import of Titanium Dioxide supplied to companies which manufacture toil,CAAR/Mum/ARC/30/2025-26,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-30-12122025.pdf,YES
Mumbai Orders,4,32,R.R Exports,03.09.2025,12.12.2025,Classification of Roasted Areca Nuts,CAAR/Mum/ARC/29/2025-26,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-29-12122025.pdf,YES
Mumbai Orders,4,33,Vitesco Technologies India Private Limited,11.07.2025,09.12.2025,Classification of imported NOx sensor / NOx Probe Assembly,CAAR/Mum/ARC/28/2025-26,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-28-09122025.pdf,YES
